Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Decision
M,WHITE,IN,Low,-1,URM,CS,1580,5.5,1.5,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,BIO,1430,5.5,4.2,Accepted
M,-1,CA,Low,PUBLIC,NONE,CS,1540,8.5,4.7,Accepted
M,WHITE,CA,High,PUBLIC,NONE,-1,1470,6.5,7.5,Accepted
F,WHITE,CA,High,-1,URM,BIO,1080,3.5,1.5,Accepted
F,WHITE,CA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1350,4.5,2.0,Accepted
M,ASIAN,WA,Low,-1,LEGACY,ENG,1380,5.5,4.5,Accepted
M,ASIAN,-1,High,PUBLIC,FIRST-GEN,CHEMISTRY,1300,6.0,7.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,Accepted
M,WHITE,CA,Low,PUBLIC,NONE,CS,1530,6.5,4.2,Accepted
M,ASIAN,CA,Low,-1,NONE,CS,1570,6.5,2.5,Accepted
F,BLACK,CA,Low,PUBLIC,URM,NEUROSCIENCE,1480,6.5,7.2,Accepted
M,WHITE,IN,Low,-1,URM,CS,1580,6.5,6.5,Accepted
M,-1,CO,Low,PUBLIC,LGBT,-1,1380,5.5,1.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LEGACY,ENG,1540,6.5,4.7,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,POLISCI,1560,7.5,6.5,Accepted
F,ASIAN,CA,Low,-1,FIRST-GEN,CS,1500,5.5,1.0,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1450,6.5,3.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1520,7.5,6.8,Accepted
F,BLACK,MI,High,PUBLIC,URM,CS,1550,4.5,4.5,Accepted
F,ASIAN,CA,High,-1,FIRST-GEN,LAW,1530,6.5,6.5,Accepted
M,WHITE,-1,Low,CHARTER,NONE,CS,1580,5.5,2.5,Accepted
M,ASIAN,MA,Low,PUBLIC,NONE,CS,1540,6.5,6.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,ENG,1520,5.0,6.8,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1530,4.5,6.2,Accepted
F,ASIAN,CA,High,PUBLIC,NONE,ENG,1520,5.5,4.2,Accepted
F,ASIAN,PA,Low,PUBLIC,NONE,CS,1570,3.5,1.5,Accepted
F,ASIAN,CA,High,PUBLIC,FIRST-GEN,BIO,1540,2.5,4.5,Accepted
M,WHITE,CA,Low,-1,NONE,ENG,1480,6.5,6.5,Accepted
F,WHITE,IL,Low,PUBLIC,NONE,ENG,1530,7.5,6.5,Accepted
M,ASIAN,MI,High,PRIVATE,NONE,CS,1510,6.5,3.7,Accepted
M,ASIAN,MI,Low,CHARTER,LEGACY,BUSINESS,1570,4.5,5.5,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1580,6.5,4.2,Accepted
F,MIXED,UT,-1,PRIVATE,NONE,POLISCI,1530,5.0,4.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,1580,3.0,4.8,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,BIO,1550,6.5,8.0,Accepted
M,ASIAN,-1,High,PUBLIC,LEGACY,ENG,1540,7.5,4.5,Accepted
M,WHITE,CA,Low,PRIVATE,LEGACY,CS,1580,7.5,8.2,Accepted
NB,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,3.5,6.2,Accepted
M,ASIAN,CA,Middle,PUBLIC,NONE,CS,1480,5.5,3.7,Accepted
M,ASIAN,AL,High,PRIVATE,NONE,CS,1510,7.5,8.5,Accepted
M,ASIAN,TX,Low,-1,NONE,CS,1560,6.5,4.5,Accepted
M,ASIAN,WA,Low,-1,NONE,CS,1570,7.5,6.5,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1590,8.5,6.5,Accepted
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,INTERNATIONAL RELATIONS,1490,6.5,2.5,Accepted
F,ASIAN,CA,Low,PUBLIC,FIRST-GEN,BIO,1550,6.5,8.5,Accepted
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1590,8.5,7.5,Accepted
M,-1,-1,Low,PUBLIC,NONE,-1,1460,6.5,1.0,Accepted
F,ASIAN,CA,Low,-1,NONE,BUSINESS,1400,7.5,4.8,Accepted
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,Accepted
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,7.5,3.7,Accepted
M,ASIAN,TN,Low,PUBLIC,NONE,BUSINESS,1390,6.5,3.7,Accepted
M,ASIAN,WA,Low,PUBLIC,NONE,PREMED,1460,5.0,2.5,Accepted
M,-1,CA,-1,PUBLIC,NONE,CS,1520,3.5,2.5,Accepted
M,BLACK,CA,Low,PUBLIC,URM,CS,1410,6.5,7.5,Accepted
M,ASIAN,CA,Low,PUBLIC,LGBT,CS,1560,3.5,4.5,Accepted
